COUNTRY,SEX,YEAR,VALUE
"BGR","FEMALE","2015","1384.06"
"BGR","MALE","2015","1983.33"
"BGR","ALL","2016","1670.49"
"BGR","FEMALE","2016","1379.08"
"BGR","MALE","2016","1978.69"
"BGR","ALL","2017","1664.55"
"BGR","FEMALE","2017","1372.74"
"BGR","MALE","2017","1973.47"
"BGR","ALL","2018","1656.49"
"BGR","FEMALE","2018","1364.05"
"BGR","MALE","2018","1966.30"
"BGR","ALL","2019","1647.38"
"BGR","FEMALE","2019","1353.65"
"BGR","MALE","2019","1958.70"
"BIH","ALL","1990","2351.39"
"BIH","FEMALE","1990","1988.92"
"BIH","MALE","1990","2713.57"
"BIH","ALL","1991","2387.65"
"BIH","FEMALE","1991","2022.61"
"BIH","MALE","1991","2753.60"
"BIH","ALL","1992","2404.36"
"BIH","FEMALE","1992","2040.42"
"BIH","MALE","1992","2773.39"
"BIH","ALL","1993","2408.32"
"BIH","FEMALE","1993","2046.55"
"BIH","MALE","1993","2779.59"
"BIH","ALL","1994","2403.01"
"BIH","FEMALE","1994","2044.75"
"BIH","MALE","1994","2775.26"
"BIH","ALL","1995","2390.66"
"BIH","FEMALE","1995","2037.84"
"BIH","MALE","1995","2762.56"
"BIH","ALL","1996","2367.53"
"BIH","FEMALE","1996","2016.17"
"BIH","MALE","1996","2737.79"
"BIH","ALL","1997","2325.19"
"BIH","FEMALE","1997","1971.69"
"BIH","MALE","1997","2692.74"
"BIH","ALL","1998","2268.28"
"BIH","FEMALE","1998","1913.43"
"BIH","MALE","1998","2632.89"
"BIH","ALL","1999","2208.53"
"BIH","FEMALE","1999","1854.48"
"BIH","MALE","1999","2570.61"
"BIH","ALL","2000","2162.11"
"BIH","FEMALE","2000","1809.74"
"BIH","MALE","2000","2522.40"
"BIH","ALL","2001","2131.12"
"BIH","FEMALE","2001","1779.69"
"BIH","MALE","2001","2490.07"
"BIH","ALL","2002","2105.55"
"BIH","FEMALE","2002","1753.92"
"BIH","MALE","2002","2463.05"
"BIH","ALL","2003","2083.74"
"BIH","FEMALE","2003","1731.37"
"BIH","MALE","2003","2440.10"
"BIH","ALL","2004","2062.73"
"BIH","FEMALE","2004","1711.30"
"BIH","MALE","2004","2417.90"
"BIH","ALL","2005","2042.75"
"BIH","FEMALE","2005","1693.78"
"BIH","MALE","2005","2396.61"
"BIH","ALL","2006","2024.96"
"BIH","FEMALE","2006","1678.80"
"BIH","MALE","2006","2376.26"
"BIH","ALL","2007","2006.11"
"BIH","FEMALE","2007","1664.21"
"BIH","MALE","2007","2353.43"
"BIH","ALL","2008","1986.44"
"BIH","FEMALE","2008","1650.14"
"BIH","MALE","2008","2329.46"
"BIH","ALL","2009","1968.94"
"BIH","FEMALE","2009","1637.84"
"BIH","MALE","2009","2308.03"
"BIH","ALL","2010","1955.58"
"BIH","FEMALE","2010","1628.12"
"BIH","MALE","2010","2292.20"
"BIH","ALL","2011","1946.83"
"BIH","FEMALE","2011","1621.58"
"BIH","MALE","2011","2282.12"
"BIH","ALL","2012","1940.39"
"BIH","FEMALE","2012","1616.81"
"BIH","MALE","2012","2274.67"
"BIH","ALL","2013","1935.11"
"BIH","FEMALE","2013","1613.02"
"BIH","MALE","2013","2268.65"
"BIH","ALL","2014","1930.26"
"BIH","FEMALE","2014","1609.84"
"BIH","MALE","2014","2262.95"
"BIH","ALL","2015","1925.34"
"BIH","FEMALE","2015","1606.70"
"BIH","MALE","2015","2257.01"
"BIH","ALL","2016","1926.94"
"BIH","FEMALE","2016","1610.66"
"BIH","MALE","2016","2256.91"
"BIH","ALL","2017","1926.15"
"BIH","FEMALE","2017","1611.63"
"BIH","MALE","2017","2255.01"
"BIH","ALL","2018","1916.51"
"BIH","FEMALE","2018","1602.86"
"BIH","MALE","2018","2245.16"
"BIH","ALL","2019","1905.72"
"BIH","FEMALE","2019","1593.56"
"BIH","MALE","2019","2233.47"
"BLR","ALL","1990","2164.91"
"BLR","FEMALE","1990","1846.47"
"BLR","MALE","1990","2525.21"
"BLR","ALL","1991","2184.45"
"BLR","FEMALE","1991","1865.87"
"BLR","MALE","1991","2544.32"
"BLR","ALL","1992","2201.94"
"BLR","FEMALE","1992","1883.50"
"BLR","MALE","1992","2561.16"
"BLR","ALL","1993","2216.88"
"BLR","FEMALE","1993","1898.15"
"BLR","MALE","1993","2576.09"
"BLR","ALL","1994","2229.56"
"BLR","FEMALE","1994","1910.35"
"BLR","MALE","1994","2589.10"
"BLR","ALL","1995","2239.55"
"BLR","FEMALE","1995","1919.54"
"BLR","MALE","1995","2599.88"
"BLR","ALL","1996","2248.02"
"BLR","FEMALE","1996","1926.74"
"BLR","MALE","1996","2609.77"
"BLR","ALL","1997","2255.30"
"BLR","FEMALE","1997","1932.69"
"BLR","MALE","1997","2618.60"
"BLR","ALL","1998","2260.51"
"BLR","FEMALE","1998","1936.56"
"BLR","MALE","1998","2625.46"
"BLR","ALL","1999","2262.22"
